Date,Open,High,Low,Close,Adj Close,Volume
01/29/1993,43.9687,43.9687,43.75,43.9375,43.9375,1003200
02/01/1993,43.9687,44.25,43.9687,44.25,44.25,480500
02/02/1993,44.2187,44.375,44.125,44.3437,44.3437,201300
02/03/1993,44.4062,44.8437,44.375,44.8125,44.8125,529400
02/04/1993,44.9687,45.0937,44.4687,45,45,531500
02/05/1993,44.9687,45.0625,44.7187,44.9687,44.9687,492100
02/08/1993,44.9687,45.125,44.9062,44.9687,44.9687,596100
02/09/1993,44.8125,44.8125,44.5625,44.6562,44.6562,122100
02/10/1993,44.6562,44.75,44.5312,44.7187,44.7187,379600
02/11/1993,44.7812,45.125,44.7812,44.9375,44.9375,19500
02/12/1993,44.875,44.875,44.5937,44.5937,44.5937,42500
02/16/1993,44.4687,44.4687,43.4062,43.4687,43.4687,374800
02/17/1993,43.4687,43.5312,43.2812,43.4375,43.4375,210900
02/18/1993,43.9375,43.9375,42.8125,43.4062,43.4062,378100
02/19/1993,43.4062,43.5625,43.3437,43.5625,43.5625,34900
02/22/1993,43.6875,43.7812,43.5625,43.7187,43.7187,513600
02/23/1993,43.8437,43.875,43.4687,43.6875,43.6875,373700
02/24/1993,43.7187,44.25,43.7187,44.25,44.25,26300
02/25/1993,44.2187,44.375,44.125,44.3437,44.3437,44500
02/26/1993,44.4375,44.4375,44.1875,44.4062,44.4062,66200
03/01/1993,44.5625,44.5625,44.2187,44.2812,44.2812,66500
03/02/1993,44.3125,44.9375,44.25,44.9375,44.9375,182400
03/03/1993,45,45.1562,44.9375,45.125,45.125,280100
03/04/1993,45.1875,45.1875,44.875,44.875,44.875,89500
03/05/1993,44.9375,45.125,44.7187,44.75,44.75,40000
03/08/1993,44.8437,45.75,44.8437,45.75,45.75,50800
03/09/1993,45.6562,45.6875,45.5,45.5937,45.5937,169300
03/10/1993,45.5937,45.6875,45.4062,45.6875,45.6875,194400
03/11/1993,45.7187,45.8437,45.5,45.5625,45.5625,70900
03/12/1993,45.1875,45.2187,44.8125,45.0937,45.0937,643600
03/15/1993,45.0625,45.3125,45.0625,45.3125,45.3125,310800
03/16/1993,45.3125,45.4375,45.3125,45.3125,45.3125,30800
03/17/1993,45.25,45.25,44.9687,45.0312,45.0312,21800
03/18/1993,45.2187,45.5,45.2187,45.3125,45.3125,59300
03/19/1993,45.2812,45.2812,45.0312,45.0312,45.0312,66900
03/22/1993,44.5937,44.875,44.5625,44.7812,44.7812,183400
03/23/1993,44.9062,44.9375,44.8125,44.875,44.875,55200
03/24/1993,44.8125,45.0625,44.5937,44.875,44.875,37200
03/25/1993,44.9062,45.25,44.8437,45.1562,45.1562,110100
03/26/1993,45.125,45.1562,44.875,44.9062,44.9062,101500
03/29/1993,44.9375,45.3125,44.9375,45.0937,45.0937,87100
03/30/1993,45.1562,45.2187,45.0937,45.2187,45.2187,56000
03/31/1993,45.3437,45.4687,45.1875,45.1875,45.1875,111600
04/01/1993,45.25,45.25,44.9375,45.0312,45.0312,129500
04/02/1993,44.6562,44.6562,44.0937,44.0937,44.0937,59400
04/05/1993,44.4375,44.4375,44.1875,44.3125,44.3125,172200
04/06/1993,44.4062,44.4062,44.0625,44.1875,44.1875,129700
04/07/1993,44.25,44.3437,44.1562,44.3437,44.3437,28000
04/08/1993,44.5312,44.5312,44.0937,44.2812,44.2812,180800
04/12/1993,44.7187,44.9375,44.6562,44.9062,44.9062,348500
04/13/1993,44.875,45.1562,44.8437,45,45,146100
04/14/1993,45.0312,45.0625,44.9062,44.9375,44.9375,119600
04/15/1993,44.9062,45.0312,44.75,44.9375,44.9375,148600
04/16/1993,44.9687,45.0312,44.875,44.9375,44.9375,47900
04/19/1993,44.9375,45.0625,44.7187,44.75,44.75,157000
04/20/1993,44.6875,44.75,44.25,44.5312,44.5312,279500
04/21/1993,44.625,44.625,44.375,44.5,44.5,67900
04/22/1993,44.3125,44.6875,43.9375,43.9375,43.9375,97700
04/23/1993,43.8437,43.9687,43.6875,43.75,43.75,106000
04/26/1993,43.7812,43.9375,43.2812,43.4062,43.4062,62600
04/27/1993,43.3437,43.875,43.3437,43.875,43.875,156800
04/28/1993,43.8125,43.9062,43.7187,43.7812,43.7812,85900
04/29/1993,43.875,43.9687,43.625,43.9687,43.9687,85000
04/30/1993,44.125,44.2812,44.0312,44.0312,44.0312,88500
05/03/1993,44.0937,44.3125,43.9062,44.3125,44.3125,80500
05/04/1993,44.4062,44.625,44.3437,44.4687,44.4687,149100
05/05/1993,44.4687,44.75,44.4687,44.5937,44.5937,109000
05/06/1993,44.5312,44.5625,44.4062,44.4375,44.4375,54700
05/07/1993,44.4687,44.4687,44.2812,44.3437,44.3437,68000
05/10/1993,44.4062,44.6875,44.4062,44.4375,44.4375,113900
05/11/1993,44.4375,44.625,44.3125,44.625,44.625,42600
05/12/1993,44.4375,44.5937,44.4375,44.5625,44.5625,31000
05/13/1993,44.375,44.375,44,44.0312,44.0312,129100
05/14/1993,44.0312,44.1562,43.9687,44,44,63500
05/17/1993,44.125,44.1562,43.9375,44.1562,44.1562,34000
05/18/1993,44.1875,44.2187,43.9687,44.125,44.125,105200
05/19/1993,44.125,45.0312,43.8437,45.0312,45.0312,50200
05/20/1993,45.0312,45.1562,44.9375,45.1562,45.1562,98200
05/21/1993,45.1875,45.25,44.7187,44.75,44.75,221400
05/24/1993,44.8437,45.0937,44.8437,44.9375,44.9375,30500
05/25/1993,45.125,45.125,45.0312,45.0312,45.0312,191800
05/26/1993,45.1562,45.625,45.125,45.5937,45.5937,102400
05/27/1993,45.6562,45.6562,45.375,45.4375,45.4375,53800
